MC1	MC2	MC3	Code	PRIO	DEFINITIE
Hulpvraag	Ambulancezorg	Versnelde inzet	hvazvi	2	De centralist van de meldkamer ambulancezorg stuurt op basis van een 112-melding of melding van een zorg professional vanuit NTS zo snel als mogelijk en voor afronding van de triage een ambulance-eenheid in de richting van het incident. Het uitsturen van de ambulance gebeurt met een A1- of A2-urgentie (keuze vanuit NTS). Triage, terwijl de ambulance al onderweg is, kan aanleiding geven de urgentie bij te stellen.
Leefmilieu			lm		Aantasting van de leefomgeving (hinder) of dreiging daartoe, zonder directe of indirecte invloed op de gezondheid van mensen.
Leefmilieu	Aardschok		lmas	2	
Leefmilieu	Conflict		lmcf	2	Een situatie waarin twee of meer mensen tegengestelde opvattingen hebben.
Leefmilieu	Conflict	Burenruzie	lmcfbu	2	Een conflict tussen buren.
Leefmilieu	Conflict	Conflictbemiddeling	lmcfbm	2	Een conflict tussen twee (samenwonende) personen.
Leefmilieu	Conflict	Hulpverlener	lmcfhv	1	Een conflict tussen een burger en een hulpverlener van een particuliere- of overheidsinstelling.
Leefmilieu	Dieren		lmdi	3	
Leefmilieu	Dieren	Agressieve dieren	lmdiag	2	
Leefmilieu	Dieren	Dierenkwelling	lmdikw	2	
Leefmilieu	Dieren	Zieke/Dode dieren	lmdizd	3	Aantreffen van zieke en/of dode dieren.
Leefmilieu	Overlast van/door		lmol	3	
Leefmilieu	Overlast van/door	Dieren	lmoldi	3	Overlast veroorzaakt door dieren, waaronder blaffende honden en bijenzwermen.
Leefmilieu	Overlast van/door	Geluid	lmolgl	3	Overlast veroorzaakt door geluid in de woonomgeving.
Leefmilieu	Overlast van/door	Jeugd	lmolje	3	Het veroorzaken van overlast door jeugdige personen, waaronder zogenaamde hangjongeren.
Leefmilieu	Overlast van/door	Persoon	lmolps	3	Het veroorzaken van overlast door een individueel persoon.
Leefmilieu	Overlast van/door	Verkeer	lmolvk	3	Overlast veroorzaakt door weg-, water-, spoor- en luchtverkeer.
Leefmilieu	Overlast van/door	Vuurwerk	lmolvw	3	Overlast ten gevolge van het afsteken van vuurwerk.
Leefmilieu	Stank/Hinder. Lucht		lmst	3	Overlast van stinkende stoffen, bijvoorbeeld door chemisch stoffen of het uitrijden van mest.
Leefmilieu	Uitval nutsvoorziening		lmun	5	
Leefmilieu	Verontreiniging		lmvo	3	
Leefmilieu	Verontreiniging	Bodem	lmvobd	3	
Leefmilieu	Verontreiniging	Lucht	lmvolu	3	
Leefmilieu	Verontreiniging	Object	lmvoob	3	
Leefmilieu	Verontreiniging	Oppervlaktewater	lmvoow	3	
Leefmilieu	Water/weer problemen		lmww	3	
Leefmilieu	Water/weer problemen	Gladheid/Sneeuw	lmwwgl	4	
Leefmilieu	Water/weer problemen	Hoogwater	lmwwhw	4	
Leefmilieu	Water/weer problemen	Overstroming/Dijkdoorbraak	lmwwos	1	
Leefmilieu	Water/weer problemen	Stormschade	lmwwst	3	
Leefmilieu	Water/weer problemen	Warmte/Droogte	lmwwwd	5	
Leefmilieu	Water/weer problemen	Wateroverlast	lmwwol	3	
Ongeval			og		Een onvoorziene gebeurtenis met urgentie waarbij op enige wijze schade is veroorzaakt (ontstaan) aan mensen of goederen waarbij het niet primair om brand of een explosie gaat. Alleen onder luchtvaartongevallen worden ook alle branden van luchtvaartuigen gerekend.
Ongeval	Luchtvaart		oglu	2	Een onvoorziene gebeurtenis waarbij een vliegtuig is betrokken.
Ongeval	Luchtvaart	Crash	ogluco	1	Een onvoorziene landing of neerstorting of aanrijding met ernstige gevolgen. (Bijv. vliegtuig stort neer tijdens landing, twee vliegtuigen komen op de start-/landingsbaan met elkaar in botsing, een helikopter raakt hoogspanningskabel en stort neer)
Ongeval	Luchtvaart	Gevaarlijke stof	oglugs	1	Een ongeval (incident) met gevaarlijke stoffen (niet zijnde een crash, noodsituatie of voorzorgslanding), vanuit een luchtvaartuig.
Ongeval	Luchtvaart	Noodsituatie	ogluns	1	Piloot doet May Day Call. Hierbij is sprake van een ernstige situatie waarbij direct levensgevaar voor de aanwezigen is of kan ontstaan en waarbij direct assistentie is vereist. Het luchtvaartuig wil voorrang op alle luchtvaartbewegingen om te landen.
Ongeval	Luchtvaart	Overig LVO	ogluki	1	Onder de luchtvaart ongevallen vallende overige incidenten met luchtvaartuig, wat de luchthaven in eerste instantie zelf af kan met de luchthavenbrandweer. (Dit zijn geen crashes, runway incursion, voorzorgslandingen, etc.)
Ongeval	Luchtvaart	Voorzorg	ogluvz	1	Een melding uit voorzorg (pan pan call) met als doel vroegtijdig maatregelen te kunnen treffen of hulpverlening op te starten. Er wordt nog geen ernstig incident verwacht en de luchthaven moet het incident in principe met eigen potentieel af kunnen handelen.
Ongeval	Overig		ogov	2	
Ongeval	Overig	Gevaarlijke stof	ogovgs	1	Een ongeval (incident) (niet zijnde luchtvaart, spoorvervoer, water of wegvervoer), waarbij gevaarlijke stoffen betrokken zijn en deze stof(fen) het grootste gevaar van het incident zijn voor de hulpverleners en de omgeving.(bijvoorbeeld het vrijkomen van een gevaarlijke stof uit een installatie bij een bedrijf)
Ongeval	Overig	Letsel	ogovls	1	
Ongeval	Overig	Materieel	ogovmt	2	
Ongeval	Spoorvervoer		ogsp	2	Een ongeval op het spoor.
Ongeval	Spoorvervoer	Gevaarlijke stof	ogspgs	1	Een ongeval (incident) met gevaarlijke stoffen op het spoor ( bijvoorbeeld een lekkende ketelwagon)
Ongeval	Spoorvervoer	Letsel	ogspls	1	Een ongeval op het spoor met (ander) voertuig of voorwerp waarbij enig menselijk letsel is ontstaan.
Ongeval	Spoorvervoer	Materieel	ogspmt	2	Een ongeval op het spoor met (ander) voertuig of voorwerp waarbij slechts sprake is van materiele schade.
Ongeval	Water		ogwt	2	Een ongeval te water.
Ongeval	Water	Gevaarlijke stof	ogwtgs	1	Een ongeval (incident) met gevaarlijke stoffen op het water ( bijvoorbeeld een lekkende tank/compartiment van een binnenvaartschip)
Ongeval	Water	Lek/zinken woonboot	ogwtzi	2	
Ongeval	Water	Letsel	ogwtls	1	Een ongeval te water waarbij enig menselijk letsel is ontstaan.
Ongeval	Water	Materieel	ogwtmt	3	Een ongeval te water waarbij slechts van materiele schade sprake is.
Ongeval	Water	Noodsignaal	ogwtns	1	Een (melding) waarneming signaal dat wordt uitgezonden/gegeven om aan te geven dat een vaartuig in nood verkeert en waarbij geen direct mondeling contact is met de opvarende op het vaartuig, en door de waarnemer ook niet vast te stellen is dat er zich daadwerkelijk een vaartuig in nood verkeert.
Ongeval	Water	Persoon in drijfzand	ogwtpd	1	Een persoon in nood die zich in drijfzand begeeft.
Ongeval	Water	Persoon te water	ogwtpw	1	Een persoon in nood die te water is geraakt en niet in het bezit is van een drijfmiddel (drenkeling).
Ongeval	Water	Schip/watersp. in problemen	ogwtpr	2	Een vaartuig waarover de bemanning de controle heeft verloren of welke in gevaar verkeert. Dit wordt bepaald op basis van direct contact met opvarenden, of door waarneming van de toestand van het vaartuig door derden.
Ongeval	Wegvervoer		ogwe	2	Een ongeval op de weg.
Ongeval	Wegvervoer	Gevaarlijke stof	ogwegs	1	Een ongeval (incident) met gevaarlijke stoffen op de weg / vanuit een voertuig ( bijvoorbeeld een lekkende tankwagen)
Ongeval	Wegvervoer	Letsel	ogwels	1	Een ongeval waarbij een voertuig (wegvervoer) is betrokken waarbij enig lichamelijk letsel is ontstaan.
Ongeval	Wegvervoer	Materieel	ogwemt	3	Een ongeval waarbij een voertuig (wegvervoer) is betrokken en waarbij slechts sprake is van materiele schade.
Ongeval	Wegvervoer	Voertuig te water	ogwewt	1	Een ongeval waarbij een voertuig (wegvervoer) te water is geraakt.
Veiligheid en openbare orde			vo		Aantasting van de lichamelijke integriteit van persoon of dreiging met maatschappelijke gevolgen.
Veiligheid en openbare orde	Aantast. Openb orde		voat	3	Verstoring van de openbare orde
Veiligheid en openbare orde	Aantast. Openb orde	Demonstratie	voatdm	4	Een spontane of aangekondigde betoging op de openbare weg door een of meerdere personen.
Veiligheid en openbare orde	Aantast. Openb orde	Evenementen	voatev	4	Een spontane of aangekondigde gebeurtenis op de openbare weg door eenn of meerdere personen.
Veiligheid en openbare orde	Aantast. Openb orde	Huis/lok. vredebreuk	voatvb	2	Het wederrechtelijk binnendringen van een woning of lokaliteit.
Veiligheid en openbare orde	Aantast. Openb orde	Onbevoegd betreden	voatob	3	Zonder toestemming van de eigenaar betreden van een terrein of gebouw.
Veiligheid en openbare orde	Aantast. Openb orde	Overtreding avondklok	vooak	3	Zonder toestemming zich in de openbaarheid begeven gedurende de periode dat een avondklok van toepassing is
Veiligheid en openbare orde	Aantast. Openb orde	Samenscholing	voatsm	3	Samen zijn van een groep personen dat als hinderlijk wordt ervaren.
Veiligheid en openbare orde	Aantast. Openb orde	Stalking	vostk	2	Iemand opzettelijk en structureel lastigvallen, waardoor die persoon zich in zijn of haar vrijheid en veiligheid voelt aangetast.
Veiligheid en openbare orde	Beveiliging		vobev	3	Beveiligingswerkzaamheden uitgevoerd door 1 of meerdere eenheden van de politie en/of KMAR.
Veiligheid en openbare orde	Beveiliging luchtvaart		vobb	3	Incidenten met betrekking tot vliegvelden en vliegtuigen van de burgerluchtvaart.
Veiligheid en openbare orde	Beveiliging luchtvaart	Onbeheerde bagage	vobbbg	2	Aantreffen van bagage zonder dat een eigenaar waarneembaar is.
Veiligheid en openbare orde	Beveiliging luchtvaart	Security incident	vobbsi	2	Incident waarvoor 'security' protocollen gelden.
Veiligheid en openbare orde	Beveiliging luchtvaart	Startverbod vliegtuig	vobbsv	1	Een of meerdere vliegtuigen is verboden op te starten.
Veiligheid en openbare orde	Beveiliging luchtvaart	Steekproef security	vobbss	3	Vanuit beveiligingsoverweging steekproefsgewijs extra controle uitvoeren.
Veiligheid en openbare orde	Beveiliging luchtvaart	Vluchtafhandeling	vobbva	3	Beveiliging incheck, bagage, passagiers, platform etcetera.
Veiligheid en openbare orde	Bijzondere Wetten		vobzw	3	
Veiligheid en openbare orde	Bijzondere Wetten	GB Controle	vogbc	3	Controle aan de Nederlandse grens
Veiligheid en openbare orde	Bijzondere Wetten	Militaire Zaken	vomi	3	Meldingen met betrekking tot het militair tucht of strafrecht, welke niet onder een andere MC’s kunnen vallen, of andere zaken met betrekking tot de Nederlandse Krijgsmacht. 
Veiligheid en openbare orde	Bijzondere Wetten	MTV Controle	vomtv	3	Controle aan de Schengen binnengrens van het Koninkrijk. (NL-DU en NL-BE) 
Veiligheid en openbare orde	Bijzondere Wetten	Veiligheidscontrole WWM	vovhc	2	Veiligheidscontrole Wet Wapens en Munitie
Veiligheid en openbare orde	Bijzondere Wetten	Vreemdelingenzaak	vovzk	3	Overige vreemdelingenzaken, niet zijnde GB of MTV
Veiligheid en openbare orde	Digitaal		vodg	3	
Veiligheid en openbare orde	Digitaal	Cybercrime	vodgcc	3	
Veiligheid en openbare orde	Digitaal	Digitale criminaliteit	vodgdc	3	
Veiligheid en openbare orde	Drugszaak		vodz	3	Alle meldingen met betrekking tot het bezit en gebruik van drugs.
Veiligheid en openbare orde	Drugszaak	Dealen	vodzdl	3	Het (illegaal) handelen in drugs.
Veiligheid en openbare orde	Drugszaak	Drugslab	vodzlb	2	Het aantreffen van een drugslaboratorium.
Veiligheid en openbare orde	Drugszaak	Wietplantage	vodzwp	2	Het aantreffen van hennep- en wietplantages.
Veiligheid en openbare orde	Explosief/Munitie		voex	2	Het aantreffen van een explosief of munitie, niet zijnde het gebruik hiervan.
Veiligheid en openbare orde	Explosief/Munitie	Aantref. explosieven	voexat	1	Het aantreffen van explosieven.
Veiligheid en openbare orde	Explosief/Munitie	Bommelding	voexbm	1	Een melding waarbij gedreigd wordt tot het gebruik van een explosief.
Veiligheid en openbare orde	Explosief/Munitie	Explosie	voexex	1	
Veiligheid en openbare orde	Explosief/Munitie	Munitie	voexmu	3	Het aantreffen van vuurwapens en/of munitie.
Veiligheid en openbare orde	Explosief/Munitie	Vuurwerkopslag	voexvw	3	Het aantreffen van (illegaal) vuurwerk.
Veiligheid en openbare orde	Gevangenis		vogv	2	Een gebouw om gedetineerden in bewaring te stellen of in hechtenis te nemen.
Veiligheid en openbare orde	Gevangenis	Ontsnapping	vogvos	1	Het zonder toestemming verlaten van de gevangenis.
Veiligheid en openbare orde	Gevangenis	Oproer	vogvor	1	Een melding van verzet, onrust door meerdere personen in een gevangenis.
Veiligheid en openbare orde	Geweld		vogw	2	Het opzettelijk, door middel van het toepassen van geweld, toebrengen van pijn of letsel aan personen.
Veiligheid en openbare orde	Geweld	Bedreiging	vogwbd	2	Het verbaal bedreigen van personen met het toebrengen van schade, pijn of letsel zonder dit daadwerkelijk al te hebben uitgevoerd.
Veiligheid en openbare orde	Geweld	CBRN-e dreiging	vogwcb	1	De dreiging van chemische, biologische, radioactieve, nucleaire stoffen/wapens waarbij pijn of letsel kan ontstaan.
Veiligheid en openbare orde	Geweld	Gijzeling	vogwgz	1	Personen met geweld of bedreiging met geweld tegen hun wil vasthouden.
Veiligheid en openbare orde	Geweld	Kaping	vogwkp	1	Het met geweld of dreiging met geweld het commando overnemen van een voertuig, vaartuig, of luchtvaartuig.
Veiligheid en openbare orde	Geweld	Mishandeling	vogwmh	2	Het opzettelijk toebrengen van pijn of letsel aan een ander.
Veiligheid en openbare orde	Geweld	Ontvoering	vogwon	1	Iemand tegen diens wil onttrekken uit zijn/haar vertrouwde omgeving en wederrechtelijk verplaatsen/wegvoeren.
Veiligheid en openbare orde	Geweld	Schietpartij	vogwsi	1	Een vuurgevecht door middel van vuurwapens tussen of gericht tegen personen.
Veiligheid en openbare orde	Geweld	Steekpartij	vogwst	1	Het gebruiken van steekwapens gericht tegen personen.
Veiligheid en openbare orde	Geweld	Terrorisme	vogwte	1	Op de meldkamer geeft de politie aan of een incident als terrorisme geclassificeerd moet worden. Het betreffen acties met oogmerk om de bevolking of een deel van de bevolking van een land vrees aan te jagen, dan wel een overheid of internationale organisatie te dwingen iets te doen, niet te doen of te dulden, dan wel de fundamentele politieke, constitutionele, economische of sociale structuren van een land of een internationale organisatie ernstig te ontwrichten of te vernietigen. (bron: AIVD) Deze definitie die het gevolg is van het Europese standpunt van de Raad van de Europese Unie inzake terrorismebestrijding, zoals deze materieel gelijk is beschreven in de bepaling in de (ontwerp-)WTM, artikel 83a WvSr: wet- en regelgeving Art. 83a WvSr en 140 WvSr hiërarchische verhouding
Veiligheid en openbare orde	Geweld	Vechtpartij	vogwve	1	Door toepassing van lijfelijk geweld een geschil trachten te slechten.
Veiligheid en openbare orde	Noodoproep		vono	1	
Veiligheid en openbare orde	Verdachte situatie		vovs	2	Een ongewone situatie die om nader onderzoek vraagt
Veiligheid en openbare orde	Verdachte situatie	Gebouw	vovsgb	2	Een ongewone situatie in en om een gebouw die om nader onderzoek vraagt
Veiligheid en openbare orde	Verdachte situatie	Overleden persoon	vovsop	2	Het aantreffen van een overleden persoon waarvan de identiteit niet direct kan worden vastgesteld en de doodsoorzaak vraagt om nader onderzoek.
Veiligheid en openbare orde	Verdachte situatie	Pakket/Voorwerp	vovspv	2	Het aantreffen van een verdacht pakket of voorwerp.
Veiligheid en openbare orde	Verdachte situatie	Persoon	vovsps	2	Het aantreffen van een persoon die verdacht is of verdacht gedraagt
Veiligheid en openbare orde	Verdachte situatie	Voertuig/Vaartuig	vovsvv	2	Het aantreffen van een verdacht voertuig 
Veiligheid en openbare orde	Seksueel delict		vosd	2	Een melding van een incident waarbij sprake is van een seksueel misdrijf
Veiligheid en openbare orde	Seksueel delict	Aanranding	vosdar	2	
Veiligheid en openbare orde	Seksueel delict	Aanstootgevend gedrag	vosdag	2	Tonen geslachtsdeel (bijv potloodventer), kan ook live via internet
Veiligheid en openbare orde	Seksueel delict	Kinderpornografie	vosdkp	2	
Veiligheid en openbare orde	Seksueel delict	Ontucht minderjarigen	vozdom	2	Het plegen van ontucht (seksuele handelingen) met een minderjarig persoon. Onder ontucht wordt hier ook verstaan het betasten van intieme delen.
Veiligheid en openbare orde	Seksueel delict	Prostitutie	vosdpt	2	
Veiligheid en openbare orde	Seksueel delict	Seksueel benaderen kind	vosdbk	2	Seksuele benadering van een kind, schriftelijk of mondeling (sexchatting of grooming)
Veiligheid en openbare orde	Seksueel delict	Seksueel misbruik kind	vosdmk	2	Seksuele handelingen met kind (verkrachting of aanranding kind).
Veiligheid en openbare orde	Seksueel delict	Seksuele intimidatie	vosdsi	2	Seksuele intimidatie in het openbaar (op straat of online). Kan gaan om opmerkingen, geluiden, gebaren of aanrakingen.
Veiligheid en openbare orde	Seksueel delict	Verkrachting	vosdvk	1	
Verkeer			vk		Een verkeersgebeurtenis niet zijnde een ongeval.
Verkeer	Luchtvaart		vklu	3	Betreft alle luchtvaartvervoermiddelen.
Verkeer	Luchtvaart	Laag vliegen	vklulv	2	Het lager vliegen dan de voorgeschreven minimale hoogte.
Verkeer	Luchtvaart	Onbevoegd vliegen	vkluov	2	Zonder daarvoor voorafgegane toestemming vliegen met een luchtvaartuig.
Verkeer	Luchtvaart	Onbevoegde landing	vkluol	2	Zonder daarvoor voorafgegane toestemming op een luchtvaartterrein of ander terrein landen.
Verkeer	Luchtvaart	Onder invloed	vkluoi	2	Een luchtvaartuig besturen terwijl de gezagvoerder onder invloed van alcoholische drank of drugs verkeert.
Verkeer	Luchtvaart	Runway incursion	vkluri	2	Er is sprake van een runway incursion wanneer een vliegtuig, een voertuig of een persoon zich ten onrechte op de start- en of landingsbaan bevindt of binnen de beschermende zone daarvan.
Verkeer	Scheepvaart		vksh	3	Incidenten die het vervoer op het water aangaan.
Verkeer	Scheepvaart	Aanmeerproblemen	vkshap	3	Er doen zich problemen voor bij het afmeren aan een steiger of kade of bij het ankeren.
Verkeer	Scheepvaart	Afgevallen lading	vkshal	3	Lading dat van een schip is gevallen.
Verkeer	Scheepvaart	ASO-vaargedrag	vkshav	3	Gedrag op het water waar anderen hinder van ondervinden.
Verkeer	Scheepvaart	Hinderl. waterbeweging	vkshhw	3	Een vaartuig veroorzaakt een golfbeweging die hinder of schade veroorzaakt.
Verkeer	Scheepvaart	Onbevoegd varen	vkshov	3	Het besturen van een vaartuig zonder in het bezit te zijn van de vereiste documenten.
Verkeer	Scheepvaart	Onder invloed	vkshoi	2	Een vaartuig onder invloed van alcoholische drank of drugs besturen.
Verkeer	Scheepvaart	Stremming	vkshsm	3	Gedeeltelijke of gehele stremming van de vaarweg niet zijnde een ongeval
Verkeer	Spoorvervoer		vksp	3	Incidenten die het vervoer op of om het spoor aangaan.
Verkeer	Spoorvervoer	Defect meubilair	vkspdm	5	Hulpmiddelen langs het spoor bijv. spoorwegbomen, seinpalen, seinborden die defect zijn.
Verkeer	Spoorvervoer	Loslopende dieren	vkspld	2	Hulpmiddelen langs het spoor bijv. spoorwegbomen, seinpalen, seinborden die defect zijn.
Verkeer	Spoorvervoer	Negeren rood sein	vksprs	1	Een treinmachinist geeft geen gevolg aan een rood stopteken.
Verkeer	Spoorvervoer	Onder invloed	vkspoi	2	Een persoon bevindt zich onbevoegd op het spoor.
Verkeer	Spoorvervoer	Persoon o/b spoor	vkspps	1	Een persoon bevindt zich onbevoegd op of bij het spoor of spoorbed.
Verkeer	Spoorvervoer	Stremming	vkspss	3	
Verkeer	Spoorvervoer	Verstoring treindienst	vkspvt	4	Trein Incident Management onderscheid 4 gradaties van in toenemende mate ernstiger wordende verstoringen van de treindienst: TIS 1.1 t/m TIS 1.4 Zolang het geen ontsporing zonder slachtoffers, verstoring door slecht weer of door de overheid opgelegde verstoring treindienst is b.v. voor het ruimen van WO2 bom kunnen deze meldingen hieronder geplaatst worden.
Verkeer	Wegverkeer		vkwe	3	Betreft alle wegvervoermiddelen.
Verkeer	Wegverkeer	Achtervolging	vkweav	1	
Verkeer	Wegverkeer	Afgevallen lading	vkweal	2	Lading dat van een voertuig is gevallen.
Verkeer	Wegverkeer	ASO-rijgedrag	vkwear	3	Gedrag op de weg waar anderen hinder van ondervinden.
Verkeer	Wegverkeer	Bijz. Verk zaken	vkwebz	3	Bijzondere verkeerszaken bijv. extreem vervoer
Verkeer	Wegverkeer	Defect straatmeubilair	vkweds	4	Hulpmiddelen langs de weg bijv. verkeersborden, lichtmasten, wegbebording, schrikhekken die defect of beschadigd zijn.
Verkeer	Wegverkeer	Fietser o/b rijbaan	vkwefs	2	Een fietser bevindt zich onbevoegd op of bij de rijbaan
Verkeer	Wegverkeer	Gladheid	vkwegh	3	Wegdek dat door atmosferische invloed glad is geworden of dreigt te worden.
Verkeer	Wegverkeer	Joyriding	vkwejr	2	Het zonder toestemming van de eigenaar met een motorvoertuig over de voor het openbaar verkeer openstaande weg rijden.
Verkeer	Wegverkeer	Loslopende dieren	vkwedi	2	Dieren die zonder een geleider op of langs de rijbaan van een weg lopen.
Verkeer	Wegverkeer	Onder invloed	vkweoi	2	Een voertuig besturen terwijl de bestuurder onder invloed van alcoholische drank of drugs verkeert.
Verkeer	Wegverkeer	Parkeerprobleem	vkwepk	3	Er doen zich problemen voor door of met het parkeren van een voertuig.
Verkeer	Wegverkeer	Persoon o/b rijbaan	vkweps	2	Een persoon bevindt zich onbevoegd op of bij de rijbaan
Verkeer	Wegverkeer	Spookrijder	vkwesr	1	Een bestuurder van een motorvoertuig rijdt tegen de rijrichting van het overige verkeer in.
Verkeer	Wegverkeer	Verkeersgeleiding	vkwegl	4	Bestuurders krijgen een aanwijzing door middel van matrix- borden om een bepaalde snelheid te rijden of van een bepaalde rijstrook gebruik te maken.
Verkeer	Wegverkeer	Verkeersstremming	vkwest	3	De rijbaan is geheel of gedeeltelijk gestremd door een voorwerp of voertuig waardoor het verkeer niet of slechts gedeeltelijk door kan gaan.
Verkeer	Wegverkeer	Vervuild wegdek	vkwevw	3	Wegdekvervuiling door gelekte vloeistof, afvallende lading of loslatende modder van banden.
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
