MC1	MC2	MC3	Code	PRIO	DEFINITIE
Bezitsaantasting	Diefstal	Heling	bzdshl	3	Heling is het afnemen, verkopen of verhandelen van hetgeen iemand anders gestolen heeft.
Bezitsaantasting	Diefstal	Luchtvaartuig	bzdslu	3	Diefstal van een luchtvaartuig.
Bezitsaantasting	Diefstal	Oplichting	bzdsol	3	Iemand bewegen tot afgifte van enig goed door middel van het aanwenden van bedrieglijke middelen of door het toepassen van listige kunstgrepen.
Bezitsaantasting	Diefstal	Vaartuig	bzdsva	3	Zie diefstal.
Bezitsaantasting	Diefstal	Verduistering	bzdsvd	3	Het opzettelijk en wederrechtelijk toe-eigenen van enig goed dat geheel, of ten dele, aan een ander toebehoort en dat men anders dan door een misdrijf in het bezit gekregen heeft.
Bezitsaantasting	Diefstal	Voertuig	bzdsvo	3	Diefstal van een voertuig
Bezitsaantasting	Diefstal	Winkeldiefstal	bzdswk	2	Diefstal uit een winkel
Bezitsaantasting	Diefstal	Zakkenrollerij	bzdszk	3	Diefstal door een zakkenroller
Bezitsaantasting	Inbraak		bzib	3	Door middel van braak zich wederrechtelijk toegang verschaffen, met het oogmerk om diefstal te plegen.
Bezitsaantasting	Inbraak	Bedrijf/Instelling	bzibbi	2	Door middel van braak zich wederrechtelijk toegang verschaffen tot een bedrijf of instelling, met het oogmerk om diefstal te plegen.
Bezitsaantasting	Inbraak	Bijgebouw	bzibbg	2	Door middel van braak zich wederrechtelijk toegang verschaffen, met het oogmerk om diefstal te plegen.
Bezitsaantasting	Inbraak	Luchtvaartuig	bziblu	2	Door middel van braak zich wederrechtelijk toegang verschaffen tot een luchtvaartuig, met het oogmerk om diefstal te plegen.
Bezitsaantasting	Inbraak	Spoorvervoer	bzibsp	2	Door middel van braak zich wederrechtelijk toegang verschaffen tot een railvoertuig, met het oogmerk om diefstal te plegen.
Bezitsaantasting	Inbraak	Vaartuig	bzibva	2	Door middel van braak zich wederrechtelijk toegang verschaffen tot een vaartuig, met het oogmerk om diefstal te plegen.
Bezitsaantasting	Inbraak	Voertuig	bzibvo	2	Door middel van braak zich wederrechtelijk toegang verschaffen tot een voertuig, met het oogmerk om diefstal te plegen.
Bezitsaantasting	Inbraak	Woning	bzibwn	2	Door middel van braak zich wederrechtelijk toegang verschaffen tot een woning, met het oogmerk om diefstal te plegen.
